IL04 IM +64.757000 -146.876100  +528.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL05 IM +64.773100 -146.922900  +389.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL06 IM +64.779200 -146.904000  +262.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL07 IM +64.799300 -146.839300  +401.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL08 IM +64.790300 -146.796900  +505.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL09 IM +64.768100 -146.783200  +494.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL10 IM +64.752900 -146.843100  +586.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL11 IM +64.741500 -146.897400  +444.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL12 IM +64.744700 -146.943600  +366.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL13 IM +64.747900 -146.986500  +367.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL14 IM +64.775000 -146.979400  +223.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL15 IM +64.777700 -146.942800  +336.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL16 IM +64.793300 -146.921500  +382.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL17 IM +64.807200 -146.889800  +357.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL18 IM +64.757500 -146.776800  +554.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL19 IM +64.746100 -146.797400  +549.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL31 IM +64.771400 -146.886600  +419.0 "BHE BHN BHZ" "-" 1995,001,00:00:00 2599,365,23:59:59
INCN IU +37.483300 +126.633300  +420.0 "BC0 BC1 BCE BCI BCN BCZ BHE BHN BHZ EHE EHN EHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SCI SHE SHN SHZ UE1 UHE UHN UHZ UK1 VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Inchon, Republic of Korea" 1995,201,00:00:00 2599,365,23:59:59
ISA CI +35.662800 -118.474000  +817.0 "BHE BHN BHZ EDO ELE ELN ELZ HLE HLN HLZ LDI LDO LEB LHE LHN LHZ LKI LLE LLN LLZ UHE UHN UHZ UME UMN UMZ VHE VHN VHZ" "Isabella, California, USA" 1991,038,00:00:00 2599,365,23:59:59
ISCO US +39.799720 -105.613420 +2743.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ" "Idaho Springs, Colorado, USA" 1996,299,00:00:00 2599,365,23:59:59
JCS CI +33.085900 -116.595900 +1258.0 "BHE BHN BHZ LHE LHN LHZ LLE LLN LLZ VHE VHN VHZ" "Julian Camp Stevens, California, USA" 1998,260,00:00:00 2599,365,23:59:59
JFWS US +42.914250 -090.248090  +335.0 "BHE BHN BHZ HHE HHN HHZ LHE LHN LHZ" "Jewell Farm, Wisconsin, USA" 1992,211,00:00:00 2599,365,23:59:59
JOHN IU +16.732900 -169.529200    +2.0 "BC0 BC1 BCI BH1 BH2 BHZ HH1 HH2 HHE HHN HHZ HLE HLN HLZ LH1 LH2 LHZ LLE LLN LLZ SCI SH1 SH2 SHZ UH1 UH2 UHZ VE1 VH1 VH2 VHZ VK1" "Johnston Island, USA" 1998,205,00:00:00 2599,365,23:59:59
KBS IU +78.925600 +011.941700   +77.0 "BC0 BC1 BCE BCI BCN BCZ BHE BHN BHZ EHE EHN EHZ HHE HHN HHZ LHE LHN LHZ MHE MHN MHZ SHE SHN SHZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Ny-Alesund, Spitzbergen, Norway" 1994,309,00:00:00 1995,256,12:00:00
KBS IU +78.925600 +011.941700   +77.0 "BC0 BC1 BCE BCI BCN BCZ BHE BHN BHZ EHE EHN EHZ HHE HHN HHZ LHE LHN LHZ MHE MHN MHZ SHE SHN SHZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Ny-Alesund, Spitzbergen, Norway" 1995,256,12:00:00 2599,365,23:59:59
KEV IU +69.755300 +027.006700   +80.0 "BC0 BC1 BCI BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ MHE MHN MHZ SCI SHE SHN SHZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Kevo, Finland" 1993,158,00:00:00 1997,269,09:00:00
KEV IU +69.755300 +027.006700   +80.0 "BC0 BC1 BCI BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ MHE MHN MHZ SCI SHE SHN SHZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Kevo, Finland" 1997,269,09:00:00 2599,365,23:59:59
KIEV IU +50.694400 +029.208300  +163.0 "BC0 BCE BCI BCN BCZ BHE BHN BHZ EHE EHN EHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SC1 SCI SHE SHN SHZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Kiev, Ukraine" 1995,030,00:00:00 1997,295,10:35:00
KIEV IU +50.694400 +029.208300  +163.0 "BC0 BCE BCI BCN BCZ BHE BHN BHZ EHE EHN EHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SC1 SCI SHE SHN SHZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Kiev, Ukraine" 1997,295,10:35:00 2599,365,23:59:59
